n	sequence	kth term	0th or 1st	log2 Cn
16	d	2	0	3
17	d	2	1	3
18	a	4	0	3
19	a	4	1	3
20	d	3	0	3
21	d	3	1	3
22	a	5	0	3
23	a	5	1	3
24	c	1	0	3
25	b	1	0	3
26	a	6	0	3
27	a	6	1	3
28	b	1	1	3
29	c	1	1	3
30	a	7	0	3
31	a	7	1	3
32	d	4	0	3
33	d	4	1	3
34	a	8	0	3
35	a	8	1	3
36	d	5	0	3
37	d	5	1	3
38	a	9	0	3
39	a	9	1	3
40	c	2	0	3
41	b	2	0	3
42	a	10	0	3
43	a	10	1	3
44	b	2	1	3
45	c	2	1	3
46	a	11	0	3
47	a	11	1	3
48	d	6	0	3
49	d	6	1	3
50	a	12	0	3
51	a	12	1	3
52	d	7	0	3
53	d	7	1	3
54	a	13	0	3
55	a	13	1	3
56	c	3	0	3
57	b	3	0	3
58	a	14	0	3
59	a	14	1	3
60	b	3	1	3
61	c	3	1	3
62	a	15	0	3
63	a	15	1	3
64	d	8	0	3
65	d	8	1	3
66	a	16	0	3
67	a	16	1	3
68	d	9	0	3
69	d	9	1	3
70	a	17	0	3
71	a	17	1	3
72	c	4	0	3
73	b	4	0	3
74	a	18	0	3
75	a	18	1	3
76	b	4	1	3
77	c	4	1	3
78	a	19	0	3
79	a	19	1	3
80	d	10	0	3
81	d	10	1	3
82	a	20	0	3
83	a	20	1	3
84	d	11	0	3
85	d	11	1	3
86	a	21	0	3
87	a	21	1	3
88	c	5	0	3
89	b	5	0	3
90	a	22	0	3
91	a	22	1	3
92	b	5	1	3
93	c	5	1	3
94	a	23	0	3
95	a	23	1	3
96	d	12	0	3
97	d	12	1	3
98	a	24	0	3
99	a	24	1	3
100	d	13	0	3
101	d	13	1	3
102	a	25	0	3
103	a	25	1	3
104	c	6	0	3
105	b	6	0	3
106	a	26	0	3
107	a	26	1	3
108	b	6	1	3
109	c	6	1	3
110	a	27	0	3
111	a	27	1	3
112	d	14	0	3
113	d	14	1	3
114	a	28	0	3
115	a	28	1	3
116	d	15	0	3
117	d	15	1	3
118	a	29	0	3
119	a	29	1	3
120	c	7	0	3
121	b	7	0	3
122	a	30	0	3
123	a	30	1	3
124	b	7	1	3
125	c	7	1	3
126	a	31	0	3
127	a	31	1	3
128	d	16	0	3
129	d	16	1	3
130	a	32	0	3
131	a	32	1	3
132	d	17	0	3
133	d	17	1	3
134	a	33	0	3
135	a	33	1	3
136	c	8	0	3
137	b	8	0	3
138	a	34	0	3
139	a	34	1	3
140	b	8	1	3
141	c	8	1	3
142	a	35	0	3
143	a	35	1	3
144	d	18	0	3
145	d	18	1	3
146	a	36	0	3
147	a	36	1	3
148	d	19	0	3
149	d	19	1	3
150	a	37	0	3
151	a	37	1	3
152	c	9	0	3
153	b	9	0	3
154	a	38	0	3
155	a	38	1	3
156	b	9	1	3
157	c	9	1	3
158	a	39	0	3
159	a	39	1	3
160	d	20	0	3
161	d	20	1	3
162	a	40	0	3
163	a	40	1	3
164	d	21	0	3
165	d	21	1	3
166	a	41	0	3
167	a	41	1	3
168	c	10	0	3
169	b	10	0	3
170	a	42	0	3
171	a	42	1	3
172	b	10	1	3
173	c	10	1	3
174	a	43	0	3
175	a	43	1	3
176	d	22	0	3
177	d	22	1	3
178	a	44	0	3
179	a	44	1	3
180	d	23	0	3
181	d	23	1	3
182	a	45	0	3
183	a	45	1	3
184	c	11	0	3
185	b	11	0	3
186	a	46	0	3
187	a	46	1	3
188	b	11	1	3
189	c	11	1	3
190	a	47	0	3
191	a	47	1	3
192	d	24	0	3
193	d	24	1	3
194	a	48	0	3
195	a	48	1	3
196	d	25	0	3
197	d	25	1	3
198	a	49	0	3
199	a	49	1	3
200	c	12	0	3
201	b	12	0	3
202	a	50	0	3
203	a	50	1	3
204	b	12	1	3
205	c	12	1	3
206	a	51	0	3
207	a	51	1	3
208	d	26	0	3
209	d	26	1	3
210	a	52	0	3
211	a	52	1	3
212	d	27	0	3
213	d	27	1	3
214	a	53	0	3
215	a	53	1	3
216	c	13	0	3
217	b	13	0	3
218	a	54	0	3
219	a	54	1	3
220	b	13	1	3
221	c	13	1	3
222	a	55	0	3
223	a	55	1	3
224	d	28	0	3
225	d	28	1	3
226	a	56	0	3
227	a	56	1	3
228	d	29	0	3
229	d	29	1	3
230	a	57	0	3
231	a	57	1	3
232	c	14	0	3
233	b	14	0	3
234	a	58	0	3
235	a	58	1	3
236	b	14	1	3
237	c	14	1	3
238	a	59	0	3
239	a	59	1	3
240	d	30	0	3
241	d	30	1	3
242	a	60	0	3
243	a	60	1	3
244	d	31	0	3
245	d	31	1	3
246	a	61	0	3
247	a	61	1	3
248	c	15	0	3
249	b	15	0	3
250	a	62	0	3
251	a	62	1	3
252	b	15	1	3
253	c	15	1	3
254	a	63	0	3
255	a	63	1	3
